Team,Stadium_Name,Lat,Long
Kansas City Chiefs,Arrowhead Stadium,39.048889,-94.483889
Carolina Panthers,Bank of America Stadium,35.225833,-80.852778
Seattle Seahawks,CenturyLink Field,47.595278,-122.331667
Dallas Cowboys,AT&T Stadium,32.747778,-97.092778
Jacksonville Jaguars,EverBank Field,30.323889,-81.6375
Washington Redskins,FedExField,38.907778,-76.864444
Cleveland Browns,FirstEnergy Stadium,41.506111,-81.699444
Detroit Lions,Ford Field,42.34,-83.045556
New England Patriots,Gillette Stadium,42.090944,-71.264344
Pittsburgh Steelers,Heinz Field,40.446667,-80.015833
Greenbay Packers,Lambeau Field,44.501389,-88.062222
Philadelphia Eagles,Lincoln Financial Field,39.900833,-75.1675
Indianapolis Colts,Lucas Oil Stadium,39.760056,-86.163806
Baltimore Ravens,M&T Bank Stadium,39.278056,-76.622778
New York Giants,MetLife Stadium,40.813611,-74.074444
Oakland Raiders,Oakland Coliseum,37.751667,-122.200556
Cincinnati Bengals,Paul Brown Stadium,39.095444,-84.516039
Tampa Bay Buccaneers,Raymond James Stadium,27.975833,-82.503333
Chicago Bears,Soldier Field,41.8625,-87.616667
Denver Broncos,Sports Authority Field,39.743889,-105.02
Arizona Cardinals,University of Phoenix Stadium,33.5275,-112.2625
Miami Dolphins,Hard Rock Stadium,25.958056,-80.238889
San Fransico 49ers,Levi Stadium,37.403,-121.97
Los Angeles Rams,Los Angeles Memorial Coliseum,34.0141,118.2879
Buffalo Bills,New Era Field,42.774,-78.787
New Orleans Saints,Mercedes Benz Superdome,29.950833 ,-90.0811
Tennessee Titans,Nissan Stadium,36.166389,-86.77138
Houston Texans,NRG Stadium,29.684722,-95.410833
Los Angeles Chargers,Stubhub Stadium,33.8644,118.2611
Minnesota Vikings,US Bank Stadium,44.976,-93.225
Atlanta Falcons,Mercedes Benz Stadium,33.7575 ,84.400833
New York Jets,MetLife Stadium,40.813611,-74.074444
